trajectory_idx,fitted_W,fitted_D,v0,direction,r2,rmse,model_type,success
24,0.8290015204086817,3.9092305312245177,1.05,2,-4.534610068106029,0.34748101134565773,SAM,True
25,0.24639815842279897,3.5742596597919096,1.02,1,-1604.2731601812384,0.3595004062948904,SAM,True
26,0.19857761462490764,2.0000000000000004,1.07,2,-5.0552676694212835,0.2127177364425079,SAM,True
27,0.26734981763259535,2.0000000000000004,0.8,2,-0.005280817867092447,0.14619570784875544,SAM,True
28,0.2415869654246786,3.6587614055513566,0.86,2,-466.13835671278053,0.3099392386814168,SAM,True
29,0.49641470007565247,3.5165422905224886,0.96,1,-6.57512578355449,0.3301894510596391,SAM,True
30,0.41429125298326686,3.9324852441517355,0.78,1,-37.68064114303525,0.22967862674715747,SAM,True
31,0.15157026007289975,2.0000000000000004,0.82,1,-2.6640834247807006,0.16643667524675204,SAM,True
32,0.42172745425555225,4.137548768158457,0.61,1,-8.498950527330926,0.19036511292720779,SAM,True
33,0.13587994589669827,2.0000000000000004,0.72,1,-3.9665333312626494,0.14111824249081747,SAM,True
34,0.21485242701683346,3.5051972221637655,0.9,2,-130.57936548476607,0.29068024587112445,SAM,True
35,0.2995674905525618,3.524195213746179,1.09,2,-124.80070470559463,0.3770342110701917,SAM,True
36,0.15868604689013915,2.570893870675137,0.77,2,-0.6569587300680808,0.17815227353215662,SAM,True
37,0.17409672888975597,2.0000000000000004,0.69,2,-0.5291350253889293,0.1388194237466878,SAM,True
38,0.08215276402044056,2.0000000000000004,0.71,2,-16.385753468134972,0.14964879852454321,SAM,True
39,0.13770251328550354,3.558801802299897,0.59,1,-670.3627390541282,0.20474347224402478,SAM,True
40,0.08174277915139792,2.0000000000000004,0.84,1,-53.97624821043586,0.17195471885790428,SAM,True
41,0.49735666086458613,3.9548263961817796,0.82,1,-23.912196428191024,0.24408812443419797,SAM,True
0,0.19706287245995557,3.6629251887362204,0.73,1,-576.2829394673923,0.2545471216215578,SAM,True
1,0.15140476736966085,3.5423682098300717,0.7,2,-1340.3045673432985,0.24227151682965686,SAM,True
2,0.36703967961586065,3.8127345532866777,0.89,1,-66.22563182882546,0.31910922592277347,SAM,True
3,0.8633079996008519,4.006670505984896,0.76,1,-0.806596783890654,0.22457459945790043,SAM,True
4,0.11205622018389423,2.5814336826603297,1.0,1,-7.471346834323391,0.2387125896756036,SAM,True
5,0.4214763654512692,4.104730400022453,0.67,1,-13.093445288326407,0.19352644585950038,SAM,True
6,0.2755071704019266,3.6331235769949295,1.03,2,-609.9228737647694,0.36896890545104377,SAM,True
7,0.5571153442156581,4.1607821500055175,0.78,1,-2.869089437106437,0.2187066195582283,SAM,True
8,0.4537505745264207,3.776436384414665,0.98,2,-71.35050189811705,0.3199624355855476,SAM,True
9,0.3519070891191881,3.9168937873563223,0.77,2,-27.883701819717473,0.23001427229673096,SAM,True
10,0.24030194684811632,3.5632985714127288,1.14,2,-2179.673531326713,0.4037392060063919,SAM,True
11,0.19044212477785058,2.554113262961223,0.79,1,-0.42239344529708966,0.16113158752701418,SAM,True
12,0.088247831267326,2.5551546470803466,0.68,1,-4.261853800695125,0.15686402595693713,SAM,True
13,0.309474626756796,3.8648695884355218,0.67,1,-36.91491071255783,0.2390025634390403,SAM,True
14,0.14921226564231024,3.5352351407973948,0.55,2,-115.0635131281578,0.17866759261480103,SAM,True
15,0.37091145601225023,2.0000000000000004,0.91,1,0.3345627597257058,0.1600180785047375,SAM,True
16,0.1803397245483541,3.6381787553990934,0.64,2,-289.48389288124383,0.21566032571897867,SAM,True
17,0.08467458080486727,2.0000000000000004,0.8,2,-14.741366653376518,0.1794007827347113,SAM,True
18,0.07168468070100191,2.0000000000000004,0.77,2,-34.69532755639108,0.16398933754274847,SAM,True
19,0.504795822321602,3.8803753824584475,0.71,1,-7.926990990153307,0.22175788963869358,SAM,True
20,0.31067986710867024,3.6941911971455967,1.05,2,-368.12167990541946,0.37304004252136674,SAM,True
21,0.9828377127158073,4.6557192124184,0.79,1,-0.4165288786434276,0.19406416249342162,SAM,True
22,0.10993803938279907,2.0000000000000004,1.0,1,-19.93180597012777,0.20759745814907216,SAM,True
23,0.15132783586513784,3.433236818931993,0.81,2,-240.02088029845441,0.28336992868022026,SAM,True
24,0.3055634877683031,3.6617290016193658,1.0,2,-649.2791723118067,0.34093606739495225,SAM,True
25,0.20902781104072082,2.535693663982166,0.35,1,0.6801237969894376,0.06788370465029685,SAM,True
26,1.4481244845095447,4.68028027927443,0.94,1,0.3099767066523773,0.16699066965889364,SAM,True
27,0.2771910034580143,3.5623845702079016,1.25,1,-826.9538255235096,0.428957408356989,SAM,True
28,0.3997475567137994,3.7643839948762174,1.01,2,-88.46591948588203,0.356554444074728,SAM,True
29,0.2097413354841687,3.5801108483772053,0.89,1,-1398.7156822268666,0.3138215980481307,SAM,True
30,1.2447221251268377,4.146275308556633,0.72,2,0.5174411562635559,0.20619820550470208,SAM,True
31,0.30263662439307937,3.7037265673446025,0.69,1,-17.493169310670968,0.27547745798249434,SAM,True
32,0.14553766140111152,2.0000000000000004,1.13,2,-11.656657154000769,0.24319003827533123,SAM,True
33,0.29763359491046326,3.589844147056854,1.14,1,-475.1328608219809,0.4104568813812838,SAM,True
34,0.3131732482157796,3.56848466956828,0.91,1,-49.258130445306335,0.3249621106628584,SAM,True
35,0.30265406595647465,3.497536496144017,1.46,2,-1038.9345942124546,0.5126826198411625,SAM,True
36,0.24174567728632868,3.5930923964478145,0.91,1,-418.9577295503764,0.3243057412205283,SAM,True
37,0.27592711208153625,3.6238679509060954,0.98,1,-340.69997381512576,0.35411929259843083,SAM,True
38,0.34042386274239034,3.7325466359325303,1.01,1,-121.12364777316105,0.3265758760790197,SAM,True
39,0.3847587539088741,3.819328228676107,0.93,2,-18.205718034175202,0.2544016447672557,SAM,True
40,0.9568285086297134,3.611506139723937,1.04,2,-0.6229731009163437,0.328511181461807,SAM,True
41,0.28523780153557604,3.6102686573598217,0.85,1,-81.48371617914547,0.30515703534018035,SAM,True
42,0.2538861413042961,3.8374065538297724,0.68,1,-16.881882548368637,0.19428276546929849,SAM,True
43,0.5614440867906769,3.798355557495089,0.97,2,-17.234765207949764,0.31214566314711223,SAM,True
